,0,0
135,club_passes_received,0.0033286376752634794
136,club_passes_received_pct,0.0
137,club_miscontrols,0.002477258884675093
138,club_dispossessed,0.01646002277246572
139,club_cards_yellow_red,-0.16747092572548475
140,club_fouls,-0.0023565104198004505
141,club_fouled,-0.0020944377905021128
142,club_offsides,0.014641765733564682
143,club_pens_won,0.028078039875941957
144,club_pens_conceded,-0.005999858155696869
145,club_own_goals,0.028195690606165558
146,club_ball_recoveries,0.003960631105507595
147,club_aerials_won,0.008556655670806101
148,club_aerials_lost,-0.0062533283176784416
149,club_aerials_won_pct,0.0005180096263286416
150,rest_of_club_team_club_xg_assist_per90,-1.0436248811378415
151,rest_of_club_team_cardinality,-0.007274780053459606
152,rest_of_club_team_club_sca_per90,0.09317059019424351
