,xg,npxg,xg_assist,sca,passes_pct,progressive_passes,saves,tackles,interceptions,y
39,0.18,0.18,0.16999999999999998,4.0,85.6,4.1,91.7,1.3636363636363635,0.7272727272727273,0.3
40,0.17,0.17,0.11000000000000001,1.6,83.6,2.6,40.0,1.5454545454545454,1.0,1.0
41,0.12,0.12,0.010000000000000009,0.9,81.7,2.8,100.0,1.4545454545454546,1.0,0.2
42,0.18,0.18,0.15,1.7,88.2,4.1,75.0,2.1818181818181817,1.9090909090909092,0.6
43,0.010000000000000009,0.010000000000000009,0.1,1.0,84.9,2.3,33.3,0.8181818181818182,1.1818181818181819,1.0
44,0.030000000000000006,0.030000000000000006,0.03,1.4,86.5,3.5,100.0,1.6363636363636365,1.4545454545454546,0.1
45,0.04,0.04,0.02,0.8,87.0,2.3,100.0,1.8181818181818181,1.1818181818181819,0.1
46,0.05,0.05,0.030000000000000006,1.5,87.1,3.0,50.0,1.9090909090909092,0.9090909090909091,0.0
47,0.13,0.13,0.030000000000000006,2.3,89.6,3.5,71.4,1.3636363636363635,1.3636363636363635,0.2
48,0.18,0.18,0.16999999999999998,2.0,88.3,2.4,50.0,1.8181818181818181,0.6363636363636364,0.3
49,0.09,0.09,0.09999999999999999,1.4,82.8,2.6,25.0,0.7272727272727273,1.1818181818181819,0.6
50,0.13,0.13,0.13999999999999999,1.6,80.8,2.3,71.4,2.1818181818181817,1.1818181818181819,1.2
51,0.24,0.24,0.12,2.4,84.1,3.4,44.4,1.8181818181818181,1.2727272727272727,0.4
52,0.049999999999999975,0.05,0.009999999999999998,1.2,87.5,3.1,100.0,1.3636363636363635,0.45454545454545453,1.8
53,0.09,0.09,0.21000000000000002,2.3,84.5,3.3,100.0,1.3636363636363635,0.6363636363636364,1.4
54,0.039999999999999994,0.039999999999999994,0.010000000000000004,1.3,89.2,1.8,57.1,1.9090909090909092,1.1818181818181819,1.0
55,0.15999999999999998,0.15999999999999998,0.019999999999999997,1.4,84.8,3.6,66.7,1.1818181818181819,1.6363636363636365,0.1
